Address,BaseAddress,BaseSymbol,BaseDecimals,QuotedAddress,QuotedSymbol,QuotedDecimals,Tick,Fee Tier
0x1d42064fc4beb5f8aaf85f4617ae8b3b5b8bd801,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,UNI,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,18,-57344,3000
0x6c6bc977e13df9b0de53b251522280bb72383700,0x6b175474e89094c44da98b954eedeac495271d0f,DAI,18,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,6,-276321,500
0x7bea39867e4169dbe237d55c8242a8f2fcdcc387,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,6,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,18,200824,10000
0xcbcdf9626bc03e24f779434178a73a0b4bad62ed,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,WBTC,8,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,18,257871,3000
0xc2e9f25be6257c210d7adf0d4cd6e3e881ba25f8,0x6b175474e89094c44da98b954eedeac495271d0f,DAI,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,18,-75500,3000
0x7858e59e0c01ea06df3af3d20ac7b0003275d4bf,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,6,0xdac17f958d2ee523a2206206994597c13d831ec7,USDT,6,-1,500
0x886072a44bdd944495eff38ace8ce75c1eacdaf6,0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2,MKR,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,18,-3250,500
0xf83d5aaab14507a53f97d3c18bdb52c4a62efc40,0x23b608675a2b2fb1890d3abbd85c5775c51691d5,SOCKS,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,18,30250,3000
0xd1d5a4c0ea98971894772dcd6d2f1dc71083c44e,0x6dea81c8171d0ba574754ef6f8b412f2ed88c54d,LQTY,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,18,-74015,3000
0x6f48eca74b38d2936b02ab603ff4e36a6c0e3a77,0x6b175474e89094c44da98b954eedeac495271d0f,DAI,18,0xdac17f958d2ee523a2206206994597c13d831ec7,USDT,6,-276326,500
